Protein_DTO_ID,Gene Symbol,UniProt_ID,Canonical_Smiles,pKd_Median
DTO_03390991,RIOK3,O14730,COc1cccc(NC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5
DTO_03100083,CHEK2,O96017,CS(=O)(=O)c1ccccc1c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,5
DTO_03100350,MYLK,Q15746,CS(=O)(=O)c1ccccc1c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,5
DTO_03100518,TBK1,Q9UHD2,CS(=O)(=O)c1ccccc1c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,5
DTO_03100095,CASK,O14936,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100069,CDK3,Q00526,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100070,CDK4,P11802,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100082,CHEK1,O14757,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100212,CSNK1G2,P78368,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100100,DAPK3,O43293,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100105,DDR1,Q08345,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100135,EPHB2,P29323,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100316,MAPK3,P27361,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100152,FGFR4,P22455,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100182,IKBKB,O14920,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100190,IRAK1,P51617,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100359,NEK5,Q6P3R8,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100366,NLK,Q9UBE8,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100404,PDGFRB,P09619,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100416,PIP5K1C,O60331,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100242,PRKCE,Q02156,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100240,PRKD3,O94806,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100446,RET,P07949,Fc1ccc(CNc2nccc(NCCNC(=O)c3cc4ccccc4s3)n2)cc1,5
DTO_03100078,CDKL3,Q8IVW4,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5
DTO_03100174,HIPK3,Q9H422,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5
DTO_03100322,MAPK10,P53779,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5
DTO_03100231,KIT,P10721,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5
DTO_03100357,NEK3,P51956,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5
DTO_03100359,NEK5,Q6P3R8,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5
DTO_03100411,PIP4K2C,Q8TBX8,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5
DTO_03100399,PDPK1,O15530,CC(C)(C)c1ccc2nccc(Nc3cccc(O)c3)c2c1,5
DTO_03100204,PRKACA,P17612,CC(C)(C)c1ccc2nccc(Nc3cccc(O)c3)c2c1,5
DTO_03100514,TAOK1,Q7L7X3,CC(C)(C)c1ccc2nccc(Nc3cccc(O)c3)c2c1,5
DTO_03100563,VRK2,Q86Y07,CC(C)(C)c1ccc2nccc(Nc3cccc(O)c3)c2c1,5
DTO_03100150,FGFR2,P21802,CCn1c(nc2c(nc(OCCN)cc12)C#CC(C)(C)O)c3nonc3N,5
DTO_03100172,HIPK1,Q86Z02,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5.013228
DTO_03100154,FLT3,P36888,COc1ccc(cc1C(=O)N)c2ccncc2,5.045757491
DTO_03100035,AURKA,O14965,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5.05061
DTO_03100448,RIOK2,Q9BVS4,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5.070581
DTO_03100111,DMPK,Q09013,Oc1ccc(cc1)c2cnc(O)c3cc(sc23)c4ccncc4,5.091515
DTO_03100320,MAPK8,P45983,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5.091515
DTO_03100154,FLT3,P36888,NC(=O)c1cc(cc(c1N)c2ccncc2)c3ccc(F)cc3,5.15490196
DTO_03100158,GAK,O14976,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5.161150909
DTO_03100087,CLK2,P49760,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5.161151
DTO_03100035,AURKA,O14965,COc1cccc(CNC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5.167491
DTO_03100006,ABL1,P00519,CNC(=O)c1c[nH]c2ccc(Nc3nccc(n3)c4ccccn4)cc12,5.229147988
DTO_03100365,MGC42105,Q8IY84,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5.251812
DTO_03100411,PIP4K2C,Q8TBX8,COc1cccc(CNC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5.251812
DTO_03100016,ADCK4,Q96D53,COc1cccc(CNC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5.267606
DTO_03100359,NEK5,Q6P3R8,COc1cccc(CNC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5.267606
DTO_03100173,HIPK2,Q9H2X6,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5.30103
DTO_03100413,PI4KB,Q9UBF8,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5.30980392
DTO_03100086,CLK1,P49759,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5.309804
DTO_03100349,MYLK4,Q86YV6,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5.337242168
DTO_03100338,MAP2K5,Q13163,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5.376751
DTO_03100488,SRPK3,Q9UPE1,CC(C)CS(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5.387216143
DTO_03100135,EPHB2,P29323,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5.39794
DTO_03100336,MAP2K3,P46734,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5.39794
DTO_03100356,NEK2,P51955,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5.397940009
DTO_03100264,LATS1,O95835,NC(=O)c1cc(cc(c1N)c2ccncc2)c3ccc(F)cc3,5.420216403
DTO_03390991,RIOK3,O14730,CN1CCC(CC1)NC(=O)c2ccc(Nc3ncc4N(C)C(=O)C(F)(F)CN(C5CCCC5)c4n3)cc2C,5.443697
DTO_03100411,PIP4K2C,Q8TBX8,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5.481486
DTO_03390992,RIOK1,Q9BRS2,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5.48148606
DTO_03100192,IRAK3,Q9Y616,COc1cccc(CNC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5.49485
DTO_03390991,RIOK3,O14730,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5.494850022
DTO_03100042,BMP2K,Q9NSY1,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5.508638306
DTO_03100453,RIPK4,P57078,Clc1ccccc1n2nc(c3CCc4nc(NC(=O)NCc5ncc[nH]5)sc4c23)c6cccnc6,5.508638306
DTO_03100488,SRPK3,Q9UPE1,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5.508638306
DTO_03100231,KIT,P10721,N(c1ccc(Oc2ccccc2)cc1)c3oc(cn3)c4ccccc4,5.537602002
DTO_03100139,ERBB2,P04626,Fc1cccc(COc2ccc(Nc3ncnc4sc(cc34)c5cccs5)cc2Cl)c1,5.552841969
DTO_03100197,JAK2,O60674,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5.552842
DTO_03100294,MAP4K2,Q12851,CC(C)(C)c1ccc2nccc(Nc3cccc(O)c3)c2c1,5.552842
DTO_03100264,LATS1,O95835,N(c1ccccc1)c2oc(cn2)c3ccccc3,5.585026652
DTO_03100138,EPHB6,O15197,COc1cccc(CNC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5.585027
DTO_03100106,DDR2,Q16832,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5.619788758
DTO_03100490,STK17B,O94768,CC(C)N1C(=O)Cc2cc(Nc3ncc(c(NCc4cccc(c4)S(=O)(=O)C)n3)C(F)(F)F)ccc12,5.619789
DTO_03100411,PIP4K2C,Q8TBX8,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5.619789
DTO_03100327,MAPK15,Q8TD08,Cc1ccc2c(cnn2n1)c3ccnc(Nc4ccc(cc4)C(F)(F)F)n3,5.619789
DTO_03100138,EPHB6,O15197,C[C@H]1Oc2cc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)nn(C)c3C#N,5.638272
DTO_03100104,DCLK3,Q9C098,CN1CCC(CC1)NC(=O)c2ccc(Nc3ncc4N(C)C(=O)C(F)(F)CN(C5CCCC5)c4n3)cc2C,5.638272
DTO_03100338,MAP2K5,Q13163,OC(=O)c1cc2c(cncc2s1)c3cccc(c3)c4ccccc4,5.638272
DTO_03100197,JAK2,O60674,COc1cccc(CNC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5.638272
DTO_03100404,PDGFRB,P09619,COc1cccc(NC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5.657577
DTO_03390992,RIOK1,Q9BRS2,COc1cccc(NC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5.657577
DTO_03100506,STK3,Q13188,NC(=O)c1cc(cc2c(c[nH]c12)C3CCNCC3)c4ccccc4,5.657577
DTO_03100372,NTRK2,Q16620,CC(C)N1C(=O)Cc2cc(Nc3ncc(c(NCc4cccc(c4)S(=O)(=O)C)n3)C(F)(F)F)ccc12,5.677781
DTO_03100274,LTK,P29376,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4cccc(c4)C(=O)C)cc(OC)c1OC,5.677781
DTO_03100091,CSNK2A1,P68400,NC(=O)c1ccc(cc1)c2cc3ncnc(SCC(=O)O)c3s2,5.69897
DTO_03100208,CSNK1A1,P48729,Fc1cccc2c(NC(=O)Nc3cnccn3)ccnc12,5.69897
DTO_03100138,EPHB6,O15197,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4ccc5OCOc5c4)cc(OC)c1OC,5.79588
DTO_03100557,ULK3,Q6PHR2,COc1cccc(CNC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5.79588
DTO_03100077,CDKL2,Q92772,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5.795880017
DTO_03100160,GRK4,P32298,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5.795880017
DTO_03100457,ROCK2,O75116,O=C(NCC1CC1)c2ccc(cc2)c3cccc(c3)C(=O)NC4CC4,5.795880017
DTO_03100154,FLT3,P36888,COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N(C)C)c2cc1OC,5.823908741
DTO_03100001,AAK1,Q2M2I8,CC(C)OC(=O)N1CCN(CC1)c2ccn3ncc(c4ccc(nc4)C(F)(F)F)c3n2,5.853871964
DTO_03100416,PIP5K1C,O60331,NS(=O)(=O)c1ccc(Nc2cc([nH]n2)c3cccc(O)c3)cc1,5.853871964
DTO_03100136,EPHB3,P54753,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5.853872
DTO_03100446,RET,P07949,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,5.853872
DTO_03100132,EPHA8,P29322,COC(=O)Nc1nc2cc(ccc2[nH]1)S(=O)(=O)c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3,5.886056648
DTO_03100347,MYLK2,Q9H1R3,CC(C)CS(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5.886056648
DTO_03100416,PIP5K1C,O60331,CC(C)CS(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,5.886056648
DTO_03100375,NUAK2,Q9H093,CC(C)N1C(=O)Cc2cc(Nc3ncc(c(NCc4cccc(c4)S(=O)(=O)C)n3)C(F)(F)F)ccc12,5.886057
DTO_03100043,BMPR2,Q13873,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5.886057
DTO_03100357,NEK3,P51956,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,5.920818754
DTO_03390991,RIOK3,O14730,Clc1cccc(Nc2nccc(NCCCN3CCOCC3)n2)c1,5.920818754
DTO_03100035,AURKA,O14965,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4cccc(c4)C(=O)C)cc(OC)c1OC,5.920819
DTO_03100036,AURKB,Q96GD4,COc1cccc(CNC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,5.920819
DTO_03100497,STK16,O75716,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,5.958607
DTO_03100231,KIT,P10721,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4cccc(c4)C(=O)C)cc(OC)c1OC,5.958607
DTO_03100403,PDGFRA,P16234,CC(C)(C)c1ccc2nccc(Nc3cccc(O)c3)c2c1,5.958607
DTO_03100389,PAK7,Q9P286,CCn1c(nc2c(nc(OCCN)cc12)C#CC(C)(C)O)c3nonc3N,5.958607
DTO_03100404,PDGFRB,P09619,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,5.958607315
DTO_03100456,ROCK1,Q13464,O=C(NCC1CC1)c2ccc(cc2)c3cccc(c3)C(=O)NC4CC4,5.958607315
DTO_03100495,STK10,O94804,COC(=O)Nc1nc2cc(ccc2[nH]1)S(=O)(=O)c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3,5.958607315
DTO_03100089,CLK4,Q9HAZ1,Clc1ccc(CNc2nccc(n2)c3cnn4ncccc34)cc1,6
DTO_03100416,PIP5K1C,O60331,Clc1ccccc1n2nc(c3CCc4nc(NC(=O)NCc5ncc[nH]5)sc4c23)c6cccnc6,6
DTO_03100488,SRPK3,Q9UPE1,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,6
DTO_03100313,MET,P08581,CC(C)N1C(=O)Cc2cc(Nc3ncc(c(NCc4cccc(c4)S(=O)(=O)C)n3)C(F)(F)F)ccc12,6
DTO_03100241,PRKCD,Q05655,CCn1c(nc2c(nc(OCCN)cc12)C#CC(C)(C)O)c3nonc3N,6
DTO_03100105,DDR1,Q08345,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,6.013228266
DTO_03100347,MYLK2,Q9H1R3,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,6.017728767
DTO_03100266,LCK,P06239,CC(C)(C)c1ccc2nccc(Nc3cccc(O)c3)c2c1,6.031517
DTO_03100042,BMP2K,Q9NSY1,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,6.031517051
DTO_03100231,KIT,P10721,CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1,6.050609993
DTO_03100037,AURKC,Q9UQB9,COc1cccc(NC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,6.05061
DTO_03100077,CDKL2,Q92772,CCN(CC)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,6.055517328
DTO_03100197,JAK2,O60674,COc1cccc(NC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,6.060481
DTO_03100074,CDK8,P49336,Clc1ccc(CNc2nccc(n2)c3cnn4ncccc34)cc1,6.070581074
DTO_03100375,NUAK2,Q9H093,Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,6.075720714
DTO_03100042,BMP2K,Q9NSY1,CC(C)CS(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,6.086186148
DTO_03100557,ULK3,Q6PHR2,COc1cccc(NC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,6.136677
DTO_03100347,MYLK2,Q9H1R3,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,6.13667714
DTO_03100209,CSNK1D,P48730,Cc1cccc(c1)c2nc3cnccn3c2c4ccnc(NC5CCCCC5)n4,6.142668
DTO_03100210,CSNK1E,P49674,Cc1cccc(c1)c2nc3cnccn3c2c4ccnc(NC5CCCCC5)n4,6.142668
DTO_03100484,SRC,P12931,CC(C)(C)c1ccc2nccc(Nc3cccc(O)c3)c2c1,6.142668
DTO_03100091,CSNK2A2,P19784,CC(C)N1C(=O)Cc2cc(Nc3ncc(c(NCc4cccc(c4)S(=O)(=O)C)n3)C(F)(F)F)ccc12,6.154902
DTO_03100418,PIM2,Q9P1W9,CN1CCC(CNc2ccc3ncc(c4cccc(OC(F)(F)F)c4)n3n2)CC1,6.173925197
DTO_03100549,TYK2,P29597,CN1CCN(CC1)c2ccc(Nc3ncc4C(=O)N(N=C(c5ccccn5)c4n3)c6c(Cl)cncc6Cl)cc2,6.180456
DTO_03100231,KIT,P10721,Cc1ccc(cc1c2noc(n2)c3cccnc3)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F,6.187086643
DTO_03100231,KIT,P10721,Cc1ccc2c(c3ccnc(Nc4ccc5OCCOc5c4)n3)c(nn2n1)c6ccc(cc6)C(F)(F)F,6.187086643
DTO_03100172,HIPK1,Q86Z02,Fc1cccc2c(NC(=O)Nc3cnccn3)ccnc12,6.187087
DTO_03100497,STK16,O75716,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4cccc(c4)C(=O)C)cc(OC)c1OC,6.187087
DTO_03100336,MAP2K3,P46734,C[C@H]1Oc2cc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)nn(C)c3C#N,6.19382
DTO_03100154,FLT3,P36888,N(c1ccc(Oc2ccccc2)cc1)c3oc(cn3)c4ccccc4,6.193820026
DTO_03100495,STK10,O94804,Fc1ccc(Cl)cc1c2nc(Nc3ccncc3)c4nccnc4n2,6.200659451
DTO_03390991,RIOK3,O14730,CC(C)N1C(=O)Cc2cc(Nc3ncc(c(NCc4cccc(c4)S(=O)(=O)C)n3)C(F)(F)F)ccc12,6.207608
DTO_03100091,CSNK2A2,P19784,NC(=O)c1ccc(cc1)c2cc3ncnc(SCC(=O)O)c3s2,6.21467
DTO_03100015,CABC1,Q8NI60,Cc1cccc(c1)c2nc3cnccn3c2c4ccnc(NC5CCCCC5)n4,6.221849
DTO_03100473,SGK3,Q96BR1,Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,6.229147988
DTO_03100266,LCK,P06239,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(Br)cnn4c3N)c1,6.229148
DTO_03100274,LTK,P29376,C[C@H]1Oc2cc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)nn(C)c3C#N,6.244125
DTO_03100098,DAPK1,P53355,OC(=O)c1cc2c(cncc2s1)c3cccc(c3)c4ccccc4,6.244125
DTO_03100329,MKNK2,Q9HBH9,NS(=O)(=O)c1cccc(c1)c2cc3ccncc3cc2OCc4ccccc4,6.244125144
DTO_03100197,JAK2,O60674,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4cccc(c4)C(=O)C)cc(OC)c1OC,6.251812
DTO_03100373,NTRK3,Q16288,COc1cccc(NC(=O)NC2CCN(C2)c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)c1,6.251812
DTO_03100175,HIPK4,Q8NE63,NC(=O)c1ccc(cc1)c2cc3ncnc(SCC(=O)O)c3s2,6.259637
DTO_03100404,PDGFRB,P09619,Clc1ccccc1n2nc(c3CCc4nc(NC(=O)NCc5ncc[nH]5)sc4c23)c6cccnc6,6.259637311
DTO_03100334,MAP2K1,Q02750,Cc1cc(cc(C)c1C=Cc2cncc(c2)c3nn[nH]n3)c4ccccn4,6.283996656
DTO_03100256,RPS6KA6,Q9UK32,CN1CCC(CC1)n2cnc(c3ccc(F)cc3)c2c4ccnc(N)n4,6.283996656
DTO_03100494,STK38L,Q9Y2H1,Nc1ncnc2c1c(I)cn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,6.283996656
DTO_03100036,AURKB,Q96GD4,NC(=O)c1ccc(cc1)c2cc3ncnc(SCC(=O)O)c3s2,6.283997
DTO_03100087,CLK2,P49760,COc1cc(C(=O)NC2CCN(C)CC2)c(F)cc1Nc3ncc4N(C)C(=O)C(F)(F)CN(C5CCCC5)c4n3,6.292429824
DTO_03100100,DAPK3,O43293,COc1cc(C(=O)NC2CCN(C)CC2)c(F)cc1Nc3ncc4N(C)C(=O)C(F)(F)CN(C5CCCC5)c4n3,6.292429824
DTO_03100105,DDR1,Q08345,CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1,6.30980392
DTO_03100174,HIPK3,Q9H422,Clc1ccc(CNc2nccc(n2)c3cnn4ncccc34)cc1,6.30980392
DTO_03100140,ERBB3,P21860,Cc1cc(nn1c2ccccc2)C(=O)Nc3ccc(Oc4ccc5nc(NC(=O)C6CC6)cn5n4)cc3,6.309804
DTO_03100139,ERBB2,P04626,CC(C)(C)c1ccc2nccc(Nc3cccc(O)c3)c2c1,6.309804
DTO_03100282,YSK4,Q56UN5,COc1ccc(cc1C(=O)N)c2ccncc2,6.318758763
DTO_03100103,DCLK2,Q8N568,C[C@H]1Oc2cc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)nn(C)c3C#N,6.318759
DTO_03100416,PIP5K1C,O60331,NC(=O)c1ccc(cc1)c2cc3ncnc(SCC(=O)O)c3s2,6.327902
DTO_03100182,IKBKB,O14920,COC(=O)c1ccc(cc1)c2cc(nc3sc(C(=O)N)c(N)c23)N4CCC(N)CC4,6.327902142
DTO_03100338,MAP2K5,Q13163,CNC(=O)c1cncc(\C=C\c2ccccc2Cl)c1,6.327902142
DTO_03100495,STK10,O94804,C[C@H]1Oc2cc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)nn(C)c3C#N,6.337242
DTO_03100208,CSNK1A1,P48729,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(Br)cnn4c3N)c1,6.337242
DTO_03100497,STK16,O75716,Clc1ccccc1n2nc(c3CCc4nc(NC(=O)NCc5ncc[nH]5)sc4c23)c6cccnc6,6.337242168
DTO_03100196,JAK1,P23458,CC(C)N1C(=O)Cc2cc(Nc3ncc(c(NCc4cccc(c4)S(=O)(=O)C)n3)C(F)(F)F)ccc12,6.356547
DTO_03100104,DCLK3,Q9C098,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(Br)cnn4c3N)c1,6.356547
DTO_03100042,BMP2K,Q9NSY1,CCN(C)S(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)[nH]nc3c2,6.356547324
DTO_03100077,CDKL2,Q92772,O=C(Nc1[nH]nc2nc(ccc12)c3occc3)C4CC4,6.356547324
DTO_03100345,MTOR,P42345,Clc1ccccc1n2nc(c3CCc4nc(NC(=O)NCc5ncc[nH]5)sc4c23)c6cccnc6,6.356547324
DTO_03100172,HIPK1,Q86Z02,Clc1ccc(CNc2nccc(n2)c3cnn4ncccc34)cc1,6.366531544
DTO_03100359,NEK5,Q6P3R8,COc1cc(Nc2nccc(n2)N3CCC(C3)NC(=O)Nc4cccc(c4)C(=O)C)cc(OC)c1OC,6.366532
DTO_03100115,DYRK2,Q92630,Oc1ccc(cc1)c2cnc(O)c3cc(sc23)c4ccncc4,6.366532
DTO_03100254,RPS6KA4,O75676,CCn1c(nc2c(nc(OCCN)cc12)C#CC(C)(C)O)c3nonc3N,6.366532
DTO_03100359,NEK5,Q6P3R8,COC1(CCN(C)CC1)C#Cc2ccc(Cl)c(c2)c3ncc4CCc5nc(NC(=O)C)sc5c4n3,6.37675071
DTO_03100518,TBK1,Q9UHD2,CC(C)N1C(=O)Cc2cc(Nc3ncc(c(NCc4cccc(c4)S(=O)(=O)C)n3)C(F)(F)F)ccc12,6.376751
